Date,Time Period,Geography,Indicator,Value,Unit,Series Code
2021-06-30,2021Q2,SSM,Net interest margin,1.19,Percent,SUP.Q.B01.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2021-06-30,2021Q2,SSM,Liquidity coverage ratio,173.81,Percent,SUP.Q.B01.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2021-06-30,2021Q2,SSM,CET1 (Common equity Tier 1) ratio,15.60,Percent,SUP.Q.B01.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2021-06-30,2021Q2,SSM,Non-performing loans ratio (excl. cash balances),2.97,Percent,SUP.Q.B01.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2021-06-30,2021Q2,SSM,Stage 2 loans ratio,9.01,Percent,SUP.Q.B01.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2021-06-30,2021Q2,Germany,Loan-to-deposit ratio,122.26,Percent,SUP.Q.DE.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2021-06-30,2021Q2,Germany,Total assets,4482.7052,EUR billions,SUP.Q.DE.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2021-06-30,2021Q2,Germany,Return on equity (RoE),4.15,Percent,SUP.Q.DE.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2021-06-30,2021Q2,Germany,Cost of risk,0.22,Percent,SUP.Q.DE.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2021-06-30,2021Q2,Germany,Net interest margin,0.84,Percent,SUP.Q.DE.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2021-06-30,2021Q2,Germany,Liquidity coverage ratio,159.76,Percent,SUP.Q.DE.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2021-06-30,2021Q2,Germany,CET1 (Common equity Tier 1) ratio,15.74,Percent,SUP.Q.DE.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2021-06-30,2021Q2,Germany,Non-performing loans ratio (excl. cash balances),1.43,Percent,SUP.Q.DE.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2021-06-30,2021Q2,Germany,Stage 2 loans ratio,8.68,Percent,SUP.Q.DE.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2021-06-30,2021Q2,Italy,Loan-to-deposit ratio,96.36,Percent,SUP.Q.IT.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2021-06-30,2021Q2,Italy,Total assets,2758.6469,EUR billions,SUP.Q.IT.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2021-06-30,2021Q2,Italy,Return on equity (RoE),7.76,Percent,SUP.Q.IT.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2021-06-30,2021Q2,Italy,Cost of risk,0.59,Percent,SUP.Q.IT.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2021-06-30,2021Q2,Italy,Net interest margin,1.13,Percent,SUP.Q.IT.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2021-06-30,2021Q2,Italy,Liquidity coverage ratio,197.11,Percent,SUP.Q.IT.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2021-06-30,2021Q2,Italy,CET1 (Common equity Tier 1) ratio,15.40,Percent,SUP.Q.IT.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2021-06-30,2021Q2,Italy,Non-performing loans ratio (excl. cash balances),4.79,Percent,SUP.Q.IT.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2021-06-30,2021Q2,Italy,Stage 2 loans ratio,13.48,Percent,SUP.Q.IT.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2021-09-30,2021Q3,SSM,Loan-to-deposit ratio,104.03,Percent,SUP.Q.B01.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2021-09-30,2021Q3,SSM,Total assets,25676.6891,EUR billions,SUP.Q.B01.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2021-09-30,2021Q3,SSM,Return on equity (RoE),7.19,Percent,SUP.Q.B01.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2021-09-30,2021Q3,SSM,Cost of risk,0.53,Percent,SUP.Q.B01.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2021-09-30,2021Q3,SSM,Net interest margin,1.18,Percent,SUP.Q.B01.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2021-09-30,2021Q3,SSM,Liquidity coverage ratio,173.78,Percent,SUP.Q.B01.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2021-09-30,2021Q3,SSM,CET1 (Common equity Tier 1) ratio,15.47,Percent,SUP.Q.B01.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2021-09-30,2021Q3,SSM,Non-performing loans ratio (excl. cash balances),2.80,Percent,SUP.Q.B01.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2021-09-30,2021Q3,SSM,Stage 2 loans ratio,8.85,Percent,SUP.Q.B01.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2021-09-30,2021Q3,Germany,Loan-to-deposit ratio,122.38,Percent,SUP.Q.DE.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2021-09-30,2021Q3,Germany,Total assets,4533.1509,EUR billions,SUP.Q.DE.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2021-09-30,2021Q3,Germany,Return on equity (RoE),4.40,Percent,SUP.Q.DE.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2021-09-30,2021Q3,Germany,Cost of risk,0.20,Percent,SUP.Q.DE.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2021-09-30,2021Q3,Germany,Net interest margin,0.82,Percent,SUP.Q.DE.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2021-09-30,2021Q3,Germany,Liquidity coverage ratio,162.26,Percent,SUP.Q.DE.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2021-09-30,2021Q3,Germany,CET1 (Common equity Tier 1) ratio,15.60,Percent,SUP.Q.DE.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2021-09-30,2021Q3,Germany,Non-performing loans ratio (excl. cash balances),1.41,Percent,SUP.Q.DE.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2021-09-30,2021Q3,Germany,Stage 2 loans ratio,8.47,Percent,SUP.Q.DE.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2021-09-30,2021Q3,Italy,Loan-to-deposit ratio,95.11,Percent,SUP.Q.IT.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2021-09-30,2021Q3,Italy,Total assets,2772.8124,EUR billions,SUP.Q.IT.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2021-09-30,2021Q3,Italy,Return on equity (RoE),7.37,Percent,SUP.Q.IT.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2021-09-30,2021Q3,Italy,Cost of risk,0.59,Percent,SUP.Q.IT.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2021-09-30,2021Q3,Italy,Net interest margin,1.13,Percent,SUP.Q.IT.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2021-09-30,2021Q3,Italy,Liquidity coverage ratio,198.45,Percent,SUP.Q.IT.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2021-09-30,2021Q3,Italy,CET1 (Common equity Tier 1) ratio,15.30,Percent,SUP.Q.IT.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2021-09-30,2021Q3,Italy,Non-performing loans ratio (excl. cash balances),4.63,Percent,SUP.Q.IT.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2021-09-30,2021Q3,Italy,Stage 2 loans ratio,12.65,Percent,SUP.Q.IT.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2021-12-31,2021Q4,SSM,Loan-to-deposit ratio,104.38,Percent,SUP.Q.B01.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2021-12-31,2021Q4,SSM,Total assets,25091.6599,EUR billions,SUP.Q.B01.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2021-12-31,2021Q4,SSM,Return on equity (RoE),6.70,Percent,SUP.Q.B01.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2021-12-31,2021Q4,SSM,Cost of risk,0.50,Percent,SUP.Q.B01.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
